SITE_ID,LATITUDE,LONGITUDE
ARE128,39.923241,-77.307863
ASH135,46.603832,-68.413227
ASH235,46.603832,-68.413227
BBE401,29.302651,-103.177813
ABT147,41.84046,-72.010368
ACA416,44.377086,-68.2608
ALC188,30.701577,-94.674011
ALH157,38.869,-89.6228
ANA115,42.416636,-83.90218
BEL116,39.028177,-76.817127
BFT142,34.884668,-76.620666
BVL130,40.051981,-88.372495
MAC426,37.131794,-86.142953
MCK131,37.704678,-85.048706
MCK231,37.704678,-85.048706
BWR139,38.444971,-76.111274
CAD150,34.179278,-93.098755
HOW132,45.215607,-68.70851
HOX148,44.18089,-85.73898
HVT424,19.4197,-155.24
CAN407,38.458323,-109.82126
CAT175,41.942325,-74.551999
CDZ171,36.784053,-87.85015
CHA467,32.009405,-109.389058
CHE185,35.750786,-94.669789
CKT136,37.92146,-83.066295
CND125,35.26333,-79.83754
CDR119,38.879503,-80.847677
CNT169,41.364531,-106.24002
CON186,34.194048,-116.912977
COW137,35.060527,-83.43034
CTH110,42.400875,-76.653516
CVL151,34.002747,-89.799183
DCP114,39.635888,-83.260563
DEN417,63.7232,-148.9676
DEV412,36.5089,-116.8478
EGB181,44.231071,-79.783115
ESP127,36.03893,-85.73305
EVE419,25.391223,-80.680819
GLR468,48.510301,-113.996807
GRB411,39.005121,-114.215932
GAS153,33.181173,-84.410054
MEV405,37.198398,-108.490462
MKG113,41.426847,-80.145247
GRC474,36.058642,-112.183575
GRS420,35.633482,-83.941606
GTH161,38.95627,-106.98587
HWF187,43.973044,-74.223317
IRL141,27.849215,-80.455595
LAV410,40.539991,-121.576462
LRL117,39.988309,-79.251573
LYE145,43.050884,-73.061334
LYK123,40.916981,-82.998206
KEF112,41.598119,-78.767866
KNZ184,39.10216,-96.609583
KVA428,67.0931,-157.8689
PNF126,36.105435,-82.045015
POF425,65.1178,-147.4333
PRK134,45.206525,-90.597209
JOT403,34.069569,-116.388933
MOR409,46.75838,-122.12429
NCS415,48.54051,-121.445652
OLY421,48.0975,-123.4256
OXF122,39.531115,-84.723547
PAR107,39.090434,-79.661742
PIN414,36.483235,-121.156876
PND165,42.929031,-109.787796
PSU106,40.720902,-77.931759
PED108,37.165222,-78.307067
PET427,34.822508,-109.892485
QAK172,39.942714,-81.337914
ROM206,40.278129,-105.545635
ROM406,40.278129,-105.545635
SAL133,40.816038,-85.661407
SEK402,36.4292,-118.7625
SEK430,36.489469,-118.829153
SHN418,38.5231,-78.43471
SPD111,36.46983,-83.826511
STK138,42.287216,-89.99995
SUM156,30.110226,-84.99038
SND152,34.289001,-85.970065
THR422,46.894844,-103.377719
UVL124,43.613572,-83.359869
VII423,18.3364,-64.7964
VIN140,38.740792,-87.484923
VOY413,48.412518,-92.829225
VPI120,37.3232,-80.4572
WNC429,43.557639,-103.483856
WSP144,40.312303,-74.872663
WST109,43.944519,-71.700787
YEL408,44.565356,-110.400338
YOS404,37.713251,-119.706196
PAL190,34.88061,-101.664703
SAN189,42.829154,-97.854128
BAS601,44.28,-108.0411
BUF603,44.1442,-106.1089
KIC003,39.8539,-95.6578
COW005,35.04826,-83.45428
DIN431,40.4373,-109.3046
FOR605,44.3395,-105.9198
NEC602,43.873,-104.1919
NIC001,43.6805,-74.9891
NPT006,46.2756,-116.0216
HOW191,45.203963,-68.740041
RED004,47.8638,-94.8352
SHE604,44.93,-106.85
UND002,44.5283,-72.8688
WFM007,#N/A,#N/A
WFM105,44.39330,-73.85940
ALB801,53.6824,-112.868
DUK008,35.9745,-79.099
UMA009,46.2026,-117.9539
CNS011,#N/A,#N/A
HAS012,#N/A,#N/A
LPO010,32.725189,-116.36441
MAR013,#N/A,#N/A
SAN192,42.7475,-97.9282